date,open,high,low.close,volume,unadjClose,flag
19760324,102.51,104.39,102.51,103.42,3261,103.42,1.0
19760325,103.42,104.0,102.19,102.85,2251,102.85,1.0
19760326,102.85,103.65,102.2,102.85,1851,102.85,1.0
19760329,102.85,103.36,101.99,102.41,1610,102.41,1.0
19760330,102.41,103.36,101.25,102.01,1793,102.01,1.0
19760331,102.01,103.08,101.6,102.77,1752,102.77,1.0
19760401,102.77,103.24,101.5,102.24,1791,102.24,1.0
19760402,102.24,102.76,101.23,102.25,1742,102.25,1.0
19760405,102.32,104.13,102.32,103.51,2194,103.51,1.0
19760406,103.51,104.63,102.93,103.36,2417,103.36,1.0
19760407,103.36,103.85,101.92,102.21,2019,102.21,1.0
19760408,102.21,102.38,100.53,101.28,2086,101.28,1.0
19760409,101.28,101.74,99.87,100.35,1905,100.35,1.0
19760412,100.35,101.3,99.57,100.2,1603,100.2,1.0
19760413,100.2,101.39,99.64,101.05,1599,101.05,1.0
19760414,101.05,101.77,99.98,100.31,1844,100.31,1.0
19760415,100.31,101.18,99.73,100.67,1510,100.67,1.0
19760419,100.67,101.83,100.32,101.44,1650,101.44,1.0
19760420,101.44,103.32,101.42,102.87,2350,102.87,1.0
19760421,102.87,104.03,102.3,103.32,2660,103.32,1.0
19760422,103.32,104.04,102.52,102.98,2022,102.98,1.0
19760423,102.98,103.21,101.7,102.29,1700,102.29,1.0
19760426,102.29,102.8,101.36,102.43,1552,102.43,1.0
19760427,102.43,103.18,101.51,101.86,1776,101.86,1.0
19760428,101.86,102.46,100.91,102.13,1579,102.13,1.0
19760429,102.13,102.97,101.45,102.13,1774,102.13,1.0
19760430,102.13,102.65,101.16,101.64,1453,101.64,1.0
19760503,101.64,101.73,100.14,100.92,1518,100.92,1.0
19760504,100.92,101.93,100.29,101.46,1724,101.46,1.0
19760505,101.46,101.92,100.45,100.88,1497,100.88,1.0
19760506,100.88,101.7,100.31,101.16,1620,101.16,1.0
19760507,101.16,102.27,100.77,101.88,1781,101.88,1.0
19760510,101.88,103.51,101.76,103.1,2276,103.1,1.0
19760511,103.1,103.99,102.39,102.95,2359,102.95,1.0
19760512,102.95,103.55,102.14,102.77,1851,102.77,1.0
19760513,102.77,103.03,101.73,102.16,1673,102.16,1.0
19760514,102.16,102.23,100.82,101.34,1680,101.34,1.0
19760517,101.34,101.71,100.41,101.09,1472,101.09,1.0
19760518,101.09,102.0,100.72,101.26,1741,101.26,1.0
19760519,101.26,102.01,100.55,101.18,1845,101.18,1.0
19760520,101.18,102.53,100.69,102.0,2256,102.0,1.0
19760521,102.0,102.34,100.81,101.26,1873,101.26,1.0
19760524,101.07,101.07,99.11,99.44,1656,99.44,1.0
19760525,99.44,100.02,98.48,99.49,1877,99.49,1.0
19760526,99.49,100.14,98.65,99.34,1675,99.34,1.0
19760527,99.34,99.77,98.26,99.38,1531,99.38,1.0
19760528,99.38,100.64,99.0,100.18,1686,100.18,1.0
19760601,100.18,100.74,99.36,99.85,1388,99.85,1.0
19760602,99.85,100.69,99.26,100.22,1612,100.22,1.0
19760603,100.22,101.1,99.68,100.13,1890,100.13,1.0
19760604,100.13,100.27,98.79,99.15,1596,99.15,1.0
19760607,99.15,99.39,97.97,98.63,1451,98.63,1.0
19760608,98.63,99.71,98.32,98.8,1666,98.8,1.0
19760609,98.8,99.49,98.23,98.74,1456,98.74,1.0
19760610,98.74,99.98,98.55,99.56,1610,99.56,1.0
19760611,99.56,101.22,99.38,100.92,1947,100.92,1.0
19760614,101.0,102.51,101.0,101.95,2125,101.95,1.0
19760615,101.95,102.39,100.84,101.46,1844,101.46,1.0
19760616,101.46,102.65,100.96,102.01,2162,102.01,1.0
19760617,102.01,104.12,101.97,103.61,2781,103.61,1.0
19760618,103.61,104.8,103.06,103.76,2572,103.76,1.0
19760621,103.76,104.73,103.18,104.28,1893,104.28,1.0
19760622,104.28,104.82,103.16,103.47,2115,103.47,1.0
19760623,103.47,103.9,102.4,103.25,1753,103.25,1.0
19760624,103.25,104.37,102.9,103.79,1985,103.79,1.0
19760625,103.79,104.54,103.17,103.72,1783,103.72,1.0
19760628,103.72,104.35,102.97,103.43,1749,103.43,1.0
19760629,103.43,104.33,102.95,103.86,1962,103.86,1.0
19760630,103.86,105.07,103.52,104.28,2383,104.28,1.0
19760701,104.28,104.98,103.14,103.59,2113,103.59,1.0
19760702,103.59,104.53,103.13,104.11,1673,104.11,1.0
19760706,104.11,104.67,103.19,103.54,1613,103.54,1.0
19760707,103.54,104.23,102.8,103.83,1847,103.83,1.0
19760708,103.83,104.75,103.44,103.98,2171,103.98,1.0
19760709,103.98,105.41,103.8,104.98,2350,104.98,1.0
19760712,104.98,106.3,104.74,105.9,2375,105.9,1.0
19760713,105.9,106.78,105.15,105.67,2755,105.67,1.0
19760714,105.67,106.61,105.05,105.95,2384,105.95,1.0
19760715,105.95,106.25,104.76,105.2,2040,105.2,1.0
19760716,105.2,105.27,103.87,104.68,2045,104.68,1.0
19760719,104.68,105.32,103.84,104.29,1820,104.29,1.0
19760720,104.29,104.57,103.05,103.72,1881,103.72,1.0
19760721,103.72,104.56,103.21,103.82,1835,103.82,1.0
19760722,103.82,104.42,103.15,103.93,1560,103.93,1.0
19760723,103.93,104.71,103.49,104.06,1587,104.06,1.0
19760726,104.06,104.69,103.46,104.07,1353,104.07,1.0
19760727,104.07,104.51,103.13,103.48,1558,103.48,1.0
19760728,103.48,103.58,102.31,103.05,1600,103.05,1.0
19760729,103.05,103.59,102.36,102.93,1333,102.93,1.0
19760730,102.93,103.88,102.47,103.44,1483,103.44,1.0
19760802,103.44,103.98,102.64,103.19,1387,103.19,1.0
19760803,103.19,104.49,102.79,104.14,1850,104.14,1.0
19760804,104.14,105.18,103.72,104.43,2065,104.43,1.0
19760805,104.43,104.76,103.48,103.85,1553,103.85,1.0
19760806,103.85,104.25,103.1,103.79,1393,103.79,1.0
19760809,103.79,104.02,103.01,103.49,1170,103.49,1.0
19760810,103.49,104.71,103.21,104.41,1669,104.41,1.0
19760811,104.41,105.24,103.73,104.06,1871,104.06,1.0
19760812,104.06,104.64,103.38,104.22,1556,104.22,1.0
19760813,104.22,104.79,103.61,104.25,1393,104.25,1.0
19760816,104.25,104.99,103.74,104.43,1621,104.43,1.0
19760817,104.43,105.25,103.98,104.8,1850,104.8,1.0
19760818,104.8,105.41,104.12,104.56,1715,104.56,1.0
19760819,104.56,104.74,103.01,103.39,1723,103.39,1.0
19760820,103.31,103.31,101.96,102.37,1492,102.37,1.0
19760823,102.37,102.49,101.04,101.96,1545,101.96,1.0
